"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2022","80,627.0","80,143.6","80,723.7","79,950.3","1.76M","0.00%"
"01/18/2022","80,627.0","80,143.6","80,723.7","79,853.6","2.10M","0.60%"
"01/17/2022","80,143.6","82,173.8","82,173.8","80,143.6","2.10M","-2.13%"
"01/14/2022","81,883.8","80,337.0","82,270.5","79,950.3","2.52M","1.93%"
"01/13/2022","80,337.0","80,627.0","80,917.0","80,143.6","1.71M","0.00%"
"01/12/2022","80,337.0","81,013.7","81,013.7","79,950.3","2.18M","-0.72%"
"01/11/2022","80,917.0","80,820.4","81,207.1","80,723.7","1.83M","0.00%"
"01/10/2022","80,917.0","81,980.5","82,173.8","80,723.7","2.15M","-0.12%"
"01/07/2022","81,013.7","81,108.8","81,394.0","80,823.5","2.55M","-0.23%"
"01/06/2022","81,203.9","81,869.5","81,869.5","81,108.8","2.85M","-0.93%"
"01/05/2022","81,964.6","82,535.1","82,725.3","81,774.4","3.12M","-0.58%"
"01/04/2022","82,440.0","82,915.4","83,105.6","82,440.0","1.89M","0.35%"
"12/31/2021","82,154.7","81,299.0","83,200.7","81,108.8","2.33M","1.29%"
"12/30/2021","81,108.8","81,108.8","81,394.0","80,918.6","893.10K","0.12%"
"12/29/2021","81,013.7","81,299.0","81,394.0","80,918.6","945.40K","-0.35%"
"12/28/2021","81,299.0","81,964.6","81,964.6","81,013.7","1.54M","-0.70%"
"12/27/2021","81,869.5","81,774.4","82,154.7","81,489.1","1.14M","0.12%"
"12/24/2021","81,774.4","80,538.3","81,774.4","80,538.3","1.15M","1.53%"
"12/23/2021","80,538.3","81,203.9","81,203.9","80,348.1","2.15M","-0.82%"
"12/22/2021","81,203.9","81,489.1","81,964.6","81,108.8","1.84M","-0.12%"
"12/21/2021","81,299.0","81,584.2","81,774.4","81,299.0","1.19M","-0.23%"
"12/20/2021","81,489.1","81,774.4","82,059.7","81,394.0","1.81M","0.00%"
"12/17/2021","81,489.1","82,344.9","82,440.0","81,489.1","2.66M","-1.04%"
"12/16/2021","82,344.9","82,059.7","82,344.9","81,774.4","1.61M","0.35%"
"12/15/2021","82,059.7","82,154.7","82,440.0","82,059.7","1.21M","0.00%"
"12/14/2021","82,059.7","82,154.7","82,630.2","81,964.6","1.67M","-0.12%"
"12/13/2021","82,154.7","82,059.7","82,535.1","81,774.4","1.50M","0.12%"
"12/10/2021","82,059.7","82,249.8","82,725.3","81,584.2","1.49M","-0.80%"
"12/09/2021","82,725.3","81,679.3","82,820.3","81,489.1","1.45M","1.16%"
"12/08/2021","81,774.4","82,059.7","82,249.8","81,489.1","1.29M","-0.58%"
"12/07/2021","82,249.8","81,584.2","82,249.8","81,203.9","1.53M","1.41%"
"12/06/2021","81,108.8","81,774.4","82,344.9","81,108.8","3.17M","-0.58%"
"12/03/2021","81,584.2","83,295.8","83,676.1","81,584.2","2.90M","-1.83%"
"12/02/2021","83,105.6","83,200.7","83,676.1","83,105.6","1.25M","-0.11%"
"12/01/2021","83,200.7","83,676.1","84,246.6","83,105.6","1.89M","-0.11%"
"11/30/2021","83,295.8","83,295.8","84,436.8","83,295.8","3.18M","0.11%"
"11/29/2021","83,200.7","83,485.9","83,581.0","82,915.4","2.84M","-0.91%"
"11/26/2021","83,961.4","83,295.8","84,436.8","83,200.7","3.02M","0.91%"
"11/25/2021","83,200.7","83,200.7","83,866.3","82,915.4","2.18M","0.00%"
"11/24/2021","83,200.7","82,249.8","83,200.7","82,249.8","2.12M","1.39%"
"11/23/2021","82,059.7","82,249.8","82,440.0","81,774.4","2.20M","0.12%"
"11/22/2021","81,964.6","81,774.4","82,249.8","81,679.3","3.50M","0.12%"
"11/19/2021","81,869.5","83,676.1","84,056.5","81,774.4","5.15M","-2.16%"
"11/18/2021","83,676.1","84,436.8","84,436.8","83,676.1","3.90M","-0.90%"
"11/17/2021","84,436.8","84,246.6","85,197.5","84,246.6","2.51M","0.23%"
"11/16/2021","84,246.6","84,627.0","84,912.2","84,151.6","3.25M","-0.45%"
"11/15/2021","84,627.0","85,102.4","85,197.5","84,627.0","3.27M","-0.34%"
"11/12/2021","84,912.2","85,577.9","85,672.9","84,722.1","2.12M","-0.33%"
"11/11/2021","85,197.5","85,387.7","85,958.2","84,912.2","3.38M","-0.11%"
"11/10/2021","85,292.6","85,577.9","85,672.9","84,912.2","2.67M","-0.11%"
"11/09/2021","85,387.7","86,528.7","86,623.8","85,292.6","3.70M","-1.10%"
"11/08/2021","86,338.5","85,292.6","86,623.8","85,197.5","6.17M","1.79%"
"11/05/2021","84,817.2","84,246.6","85,007.3","84,151.6","2.65M","0.90%"
"11/04/2021","84,056.5","84,056.5","84,341.7","83,771.2","2.51M","0.23%"
"11/03/2021","83,866.3","84,722.1","85,102.4","83,866.3","5.55M","-1.12%"
"11/02/2021","84,817.2","85,577.9","85,577.9","84,627.0","4.89M","-0.89%"
"11/01/2021","85,577.9","86,338.5","86,814.0","85,387.7","5.08M","-0.77%"
"10/29/2021","86,243.5","86,148.4","86,528.7","85,863.1","3.75M","0.11%"
"10/28/2021","86,148.4","86,053.3","87,004.2","86,053.3","4.09M","0.22%"
"10/27/2021","85,958.2","85,577.9","86,148.4","85,292.6","3.55M","0.89%"
"10/26/2021","85,197.5","85,577.9","85,768.0","85,007.3","1.64M","-0.55%"
"10/25/2021","85,672.9","86,053.3","86,148.4","85,482.8","2.77M","-0.44%"
"10/22/2021","86,053.3","85,102.4","86,053.3","84,817.2","4.49M","1.57%"
"10/21/2021","84,722.1","85,577.9","85,672.9","84,722.1","2.94M","-1.00%"
"10/20/2021","85,577.9","85,958.2","86,148.4","84,627.0","3.48M","-0.33%"
"10/19/2021","85,863.1","85,387.7","86,053.3","85,387.7","5.98M","0.56%"
"10/18/2021","85,387.7","85,577.9","85,672.9","84,817.2","2.31M","-0.22%"
"10/15/2021","85,577.9","85,577.9","86,243.5","85,197.5","3.21M","0.00%"
"10/14/2021","85,577.9","85,768.0","86,053.3","85,197.5","2.01M","-0.11%"
"10/13/2021","85,672.9","86,528.7","86,814.0","85,577.9","3.79M","-0.33%"
"10/12/2021","85,958.2","85,958.2","86,814.0","85,672.9","3.62M","0.44%"
"10/11/2021","85,577.9","85,577.9","85,958.2","85,102.4","2.47M","0.45%"
"10/08/2021","85,197.5","84,531.9","85,577.9","84,341.7","2.62M","0.90%"
"10/07/2021","84,436.8","84,912.2","85,007.3","84,436.8","2.98M","-0.56%"
"10/06/2021","84,912.2","85,197.5","85,672.9","84,817.2","2.50M","-0.33%"
"10/05/2021","85,197.5","85,863.1","85,863.1","85,197.5","2.27M","-0.67%"
"10/04/2021","85,768.0","86,053.3","86,623.8","85,672.9","3.06M","0.45%"
"10/01/2021","85,387.7","84,912.2","85,958.2","84,722.1","3.81M","0.22%"
"09/30/2021","85,197.5","85,482.8","86,243.5","85,197.5","2.80M","0.00%"
"09/29/2021","85,197.5","84,912.2","85,672.9","84,341.7","2.76M","0.34%"
"09/28/2021","84,912.2","84,436.8","85,482.8","83,676.1","3.76M","0.56%"
"09/27/2021","84,436.8","86,148.4","86,909.1","84,436.8","5.05M","-2.09%"
"09/24/2021","86,243.5","86,528.7","86,909.1","86,053.3","2.99M","-0.11%"
"09/23/2021","86,338.5","87,004.2","87,859.9","85,958.2","3.94M","-0.77%"
"09/22/2021","87,004.2","84,151.6","87,194.3","84,151.6","10.05M","3.04%"
"09/21/2021","84,436.8","83,676.1","84,531.9","83,390.9","3.10M","0.11%"
"09/20/2021","84,341.7","83,295.8","84,722.1","83,010.5","5.45M","2.54%"
"09/17/2021","82,249.8","82,154.7","84,056.5","82,059.7","5.29M","0.12%"
"09/16/2021","82,154.7","82,249.8","82,249.8","81,679.3","1.83M","0.35%"
"09/15/2021","81,869.5","82,535.1","82,535.1","81,869.5","2.43M","-1.03%"
"09/14/2021","82,725.3","82,915.4","83,010.5","82,344.9","2.48M","-0.23%"
"09/13/2021","82,915.4","82,249.8","83,105.6","82,059.7","2.96M","0.81%"
"09/10/2021","82,249.8","81,013.7","82,725.3","80,823.5","3.96M","1.53%"
"09/09/2021","81,013.7","81,203.9","81,299.0","80,823.5","2.45M","-0.23%"
"09/08/2021","81,203.9","82,059.7","82,059.7","81,108.8","3.68M","-1.04%"
"09/07/2021","82,059.7","83,485.9","83,485.9","82,059.7","2.62M","-0.58%"
"09/06/2021","82,535.0","82,535.0","83,002.4","82,441.6","3.21M","0.23%"
"09/01/2021","82,348.1","81,693.8","83,002.4","81,506.9","3.43M","0.80%"
"08/31/2021","81,693.8","81,787.3","81,880.7","81,413.4","2.96M","0.00%"
"08/30/2021","81,693.8","81,413.4","81,880.7","81,319.9","4.31M","0.46%"
"08/27/2021","81,319.9","81,693.8","81,787.3","81,039.5","2.35M","0.00%"
"08/26/2021","81,319.9","81,226.4","81,974.2","81,039.5","1.90M","0.12%"
"08/25/2021","81,226.4","80,759.1","81,413.4","80,385.2","1.68M","0.70%"
"08/24/2021","80,665.6","80,478.7","81,319.9","80,104.8","2.38M","0.35%"
"08/23/2021","80,385.2","81,974.2","82,067.7","80,385.2","4.36M","-2.05%"
"08/20/2021","82,067.7","84,404.5","84,404.5","81,319.9","4.33M","-2.77%"
"08/19/2021","84,404.5","84,591.4","84,591.4","83,937.1","3.06M","0.33%"
"08/18/2021","84,124.1","83,656.7","84,965.3","83,563.2","4.71M","0.78%"
"08/17/2021","83,469.8","83,750.2","84,217.5","83,282.8","2.20M","-0.22%"
"08/16/2021","83,656.7","84,030.6","84,684.9","83,189.3","3.27M","-0.44%"
"08/13/2021","84,030.6","84,497.9","84,591.4","83,376.3","4.11M","-0.66%"
"08/12/2021","84,591.4","84,871.8","85,526.1","84,404.5","4.29M","-0.44%"
"08/11/2021","84,965.3","84,030.6","85,432.7","83,937.1","5.33M","1.68%"
"08/10/2021","83,563.2","82,254.6","84,124.1","82,254.6","5.97M","1.94%"
"08/09/2021","81,974.2","81,506.9","82,161.2","81,319.9","2.73M","0.57%"
"08/06/2021","81,506.9","81,226.4","82,628.5","80,946.0","3.96M","0.69%"
"08/05/2021","80,946.0","81,226.4","81,413.4","80,946.0","2.83M","-0.57%"
"08/04/2021","81,413.4","81,787.3","81,787.3","81,319.9","2.87M","0.00%"
"08/03/2021","81,413.4","80,946.0","81,787.3","80,946.0","2.71M","0.69%"
"08/02/2021","80,852.6","80,572.2","81,226.4","80,385.2","2.57M","0.46%"
"07/30/2021","80,478.7","81,133.0","81,506.9","80,291.7","4.41M","-0.81%"
"07/29/2021","81,133.0","81,319.9","81,974.2","80,385.2","2.65M","-0.11%"
"07/28/2021","81,226.4","81,413.4","81,693.8","80,946.0","1.67M","-0.69%"
"07/27/2021","81,787.3","83,095.9","83,656.7","81,787.3","2.39M","-1.57%"
"07/26/2021","83,095.9","82,254.6","83,376.3","82,161.2","2.79M","1.48%"
"07/23/2021","81,880.7","81,133.0","83,937.1","80,478.7","4.13M","0.92%"
"07/22/2021","81,133.0","79,917.9","81,413.4","79,730.9","2.15M","1.76%"
"07/21/2021","79,730.9","79,824.4","80,291.7","79,637.4","1.70M","-0.70%"
"07/20/2021","80,291.7","79,450.5","80,385.2","78,796.2","3.21M","1.06%"
"07/19/2021","79,450.5","78,889.7","79,450.5","78,515.8","4.11M","-1.05%"
"07/16/2021","80,291.7","79,917.9","80,572.2","79,730.9","1.45M","0.82%"
"07/15/2021","79,637.4","79,450.5","80,665.6","78,983.1","3.28M","0.24%"
"07/14/2021","79,450.5","79,450.5","80,104.8","78,796.2","4.18M","0.83%"
"07/13/2021","78,796.2","80,478.7","80,852.6","78,702.7","2.88M","-2.32%"
"07/12/2021","80,665.6","81,787.3","82,254.6","78,796.2","4.83M","-0.80%"
"07/09/2021","81,319.9","82,535.0","82,628.5","81,226.4","3.06M","-1.58%"
